Codigo;Nombre del producto;Empresa;Tamano detectado;Unidad;Como se detecto;Uds por pallet
ADSP-00002;ALYSTIN x 1 Lt.;ADILSON SABEC PERES;1.0;lt;x;600
ADSP-00004;CALLIQUAT 200 SL (200)L_BO_UPLHK (5170113);ADILSON SABEC PERES;200.0;lt;corregido por Harold;800
ADSP-00005;CALLIQUAT 200 SL 20L (5030122);ADILSON SABEC PERES;20.0;lt;corregido por Harold;960
ADSP-00006;CAMPEON (2,4D-ACID 720G/L SL) 20L_BO_TP (5170112);ADILSON SABEC PERES;20.0;lt;corregido por Harold;960
ADSP-00007;COMITE X 5 Lts.;ADILSON SABEC PERES;5.0;lt;x;720
ADSP-00008;CRIPTON XPRO x 5 Lts.;ADILSON SABEC PERES;5.0;lt;x;720
ADSP-00009;FRONTERA (Fipronil 800WG) X 1 Kg. (5170050);ADILSON SABEC PERES;1.0;kg;x;600
ADSP-00010;GOLIATH x 5 Lts.;ADILSON SABEC PERES;5.0;lt;x;720
ADSP-00011;GRAMUQUAT X 20 Lts.;ADILSON SABEC PERES;20.0;lt;x;960
ADSP-00012;K-FOL X 10 Kgs;ADILSON SABEC PERES;10.0;kg;x;600
ADSP-00013;KOSAKO (Cletodim 240EC)_5L_BO_TP(5901671);ADILSON SABEC PERES;5.0;lt;corregido por Harold;720
ADSP-00014;LASCAR X 10 Lts.;ADILSON SABEC PERES;10.0;lt;x;720
ADSP-00015;LUSACK 5% EC x 5 Lts.;ADILSON SABEC PERES;5.0;lt;x;720
ADSP-00016;LUXOR x 5 Lts.;ADILSON SABEC PERES;5.0;lt;x;720
ADSP-00017;MELCOR X 20 Lts.;ADILSON SABEC PERES;20.0;lt;x;960
ADSP-00018;MICROTHIOL (SULPHUR 80%WDG) 10X1 KG_BO (6302756);ADILSON SABEC PERES;1.0;kg;corregido por Harold;600
ADSP-00019;OPTIMAT X 1 LT;ADILSON SABEC PERES;1.0;lt;x;600
ADSP-00020;PRODENCE P37.5+MZ525+A37.5 WG 10 Kg. PY(6306451);ADILSON SABEC PERES;10.0;kg;suelto;960
ADSP-00021;PULSAR X 5 Lts.(LAMDA 5%EC)_BO_HK(5900678);ADILSON SABEC PERES;5.0;lt;x;720
ADSP-00022;PYTON x 20 LTS.;ADILSON SABEC PERES;20.0;lt;x;960
ADSP-00023;RAIZAL 400 (1x10KG9)_BOL(6031822);ADILSON SABEC PERES;10.0;kg;corregido por Harold;960
ADSP-00024;RENO X 500 grs.;ADILSON SABEC PERES;500.0;gr;x;600
ADSP-00025;ROCKOT EXTRA x 1 Kg.;ADILSON SABEC PERES;1.0;kg;x;600
ADSP-00026;SOYAFLAG X 5 Lts;ADILSON SABEC PERES;5.0;lt;x;720
ADSP-00027;SPERTO (BIFEN 25%+ACETA 25%WG) 1KG_BO (6303068);ADILSON SABEC PERES;1.0;kg;corregido por Harold;960
ADSP-00028;STRIM (S-METOLACHLOR 960EC)4x5Lt_BO (6303840);ADILSON SABEC PERES;5.0;lt;corregido por Harold;720
ADSP-00029;TERRANO MAX x 10 Kgs.;ADILSON SABEC PERES;10.0;kg;x;600
ADSP-00030;TRICOR (METRIBUZIN 48%SC) 2x5LTR_BO (6303927);ADILSON SABEC PERES;5.0;lt;corregido por Harold;720
ADSP-00031;TRICOR X 5 Lts.;ADILSON SABEC PERES;5.0;lt;x;720
ADSP-00032;UNIZEB (MANCOZEB 80WP) X 25KG BO (6181651);ADILSON SABEC PERES;25.0;kg;x;600
ADSP-00033;UNIZEB GOLD (MANCOZEB750WG) 15 KG BAG_BO (6304327);ADILSON SABEC PERES;15.0;kg;suelto;600
ADSP-00034;UNIZEB GOLD X 15 Kgs.;ADILSON SABEC PERES;15.0;kg;x;600
ADSP-00035;UNIZEB UPLIIFT TRIO (MCZPTH TRF 602WG)10 Kg_BO (6398675);ADILSON SABEC PERES;10.0;kg;corregido por Harold;960
ADSP-00036;UP STAGE (CLOMAZONE 50%EC) 5 Lts_BO (751070);ADILSON SABEC PERES;5.0;lt;corregido por Harold;720
ADSP-00037;UPLIFT TRIO X 10 Kg.;ADILSON SABEC PERES;10.0;kg;x;960
ADSP-00038;VESSARYA x 6 Lts.;ADILSON SABEC PERES;6.0;lt;x;720
ADSP-00039;WEEDCLEAR X 5 Lt.;ADILSON SABEC PERES;5.0;lt;x;720
ADSP-00040;ZEKROM x 20 Lts.;ADILSON SABEC PERES;20.0;lt;x;960
